"ASBR07A","ASBR07B","ASBR07C","ASBR07D","ASBR07E","ASBR07F","ASBR07G","ASBR07H","ASRREA01","ASRREA02","ASRREA03","ASRREA04","ASRREA05"
"1","2","1","3","3","2","2","2",649.1755,599.07983,578.74922,610.88637,582.58488
"1","1","3","2","1","1","1","1",443.55593,433.43982,410.49557,406.36367,434.82502
"1","3","3","3","2","1","1","1",563.32291,513.91989,577.79076,579.39726,553.56003
"2","2","4","1","1","1","1","1",637.63072,588.20672,608.02687,598.88626,554.56879
"1","3","4","1","1","2","1","1",538.25785,528.99853,495.04858,481.27517,525.11849
"2","2","4","2","2","2","1","1",592.01483,640.83728,579.53985,590.8618,586.37776
"2","3","2","4","3","2","3","2",482.02759,544.62124,471.5974,497.01956,508.9903
"3","4","2","4","3","1","2","1",535.58591,565.8578,549.02994,557.38918,535.88972
"2","4","2","4","4","1","1","2",600.5852,599.48166,619.3345,604.25267,606.71372
"1","4","3","3","3","3","1","2",529.12071,540.91345,549.22544,554.77998,538.56102
"2","1","3","3","2","2","3","2",595.1593,577.18696,575.23631,565.33297,565.49891
"1","4","1","4","2","1","1","1",447.52771,487.55942,473.13361,491.67533,435.60742
"1","1","3","2","1","1","1","4",442.84973,462.40825,499.16022,428.64806,453.80123
"4","4","1","4","4","4","4","3",459.13527,461.65603,489.06447,483.18231,467.94872
"2","2","3","2","3","2","1","2",561.29132,575.30719,570.48879,583.91792,606.73742
"1","2","4","2","2","1","1","1",558.82151,532.06121,561.06648,556.84273,520.58598
"4","4","2","4","4","2","2","2",582.98048,514.4123,562.18473,636.95866,563.33809
"2","2","4","2","2","2","2","2",550.91541,553.67599,572.09527,564.91164,572.13509
"3","4","1","4","4","3","3","3",521.1512,519.25976,494.60315,526.15432,530.46733
"1","3","2","3","2","2","2","2",593.78832,564.21566,587.98096,589.16578,541.84362
"1","2","3","2","2","2","1","2",578.91711,579.5385,612.44143,559.07986,620.18969
"1","2","3","3","2","1","1","1",602.18079,598.73417,550.16908,583.95056,588.9109
"3","3","2","2","3","4","2","2",584.80353,588.21278,568.47155,549.88171,581.0164
"1","1","3","2","2","2","2","2",627.36523,625.19794,585.12483,615.21129,638.8025
"1","2","3","2","2","2","2","2",558.72564,572.14028,605.50782,590.0376,543.53847
"1","2","3","3","3","2","1","1",570.94038,528.10738,570.56462,550.69554,581.61499
"1","2","4","2","1","1","1","1",617.09414,656.58774,614.61414,655.4071,603.85575
"1","1","4","1","1","2","2","2",458.29219,462.40825,433.81412,438.26005,448.92451
"4","4","1","4","4","4","4","4",575.22409,546.50235,630.44468,570.90517,593.48556
"3","3","4","2","2","3","2","1",577.40151,593.11436,576.84609,550.4685,607.65089
"2","2","4","2","2","2","2","2",454.23014,433.07691,435.13086,444.23542,417.93321
"2","2","4","2","2","1","1","1",625.01276,666.66006,634.20474,583.52317,618.37054
"2","3","2","3","3","2","1","1",350.57224,426.20929,448.13799,444.43628,447.30003
"2","2","3","3","1","1","3","1",569.18002,571.55812,529.76017,549.39336,601.358
"3","4","2","4","3","4","3","3",398.56014,383.80241,403.55208,432.99238,444.56514
"2","1","1","1","2","2","1","1",546.58681,595.06704,565.92688,563.74298,618.09227
"2","2","4","2","2","2","2","1",604.07905,625.41257,564.64503,614.38289,588.29508
"4","4","2","4","4","3","4","4",587.52707,563.41281,603.60222,562.11296,601.56868
"2","2","3","1","2","1","1","1",604.41134,676.06611,644.64261,649.12289,590.5801
"2","2","1","3","3","2","2","2",560.81401,575.76807,581.57489,563.46565,558.56117
"1","2","4","1","1","1","1","1",465.23206,433.43982,409.17843,429.44947,424.88715
"1","2","3","2","2","2","2","2",600.78987,629.21863,587.63637,585.0836,590.69395
"2","2","3","2","3","2","2","2",421.7539,441.13688,447.253,356.67226,322.77513
"2","2","3","2","2","2","3","2",555.89717,601.70925,553.9953,522.68295,579.47182
"3","4","1","3","3","3","3","4",635.24192,592.31634,603.05853,662.45341,619.09047
"1","2","3","2","3","2","2","1",588.109,580.20004,594.11056,570.58976,651.25884
"2","1","4","1","1","1","1","1",659.91311,621.73877,677.63196,641.60916,603.06362
"1","2","4","2","2","2","1","2",546.51201,554.8438,554.61729,595.81754,543.10296
"4","3","3","3","3","3","3","3",482.13771,519.95601,480.00065,491.88687,508.32904
"2","1","3","3","3","1","1","1",554.60883,534.63313,561.06648,520.60491,564.25711
"1","1","4","2","1","1","1","1",620.38892,577.24663,564.84001,547.46835,579.52095
"3","2","4","1","1","1","1","1",598.8284,602.4512,668.73317,589.0967,621.57088
"3","2","3","4","2","2","3","2",425.71367,473.38744,423.70592,404.12151,447.30003
"2","1","4","1","1","1","1","1",528.01169,560.50386,537.56241,491.4371,496.31693
"1","2","3","2","2","2","1","1",581.90271,586.40704,588.88129,563.83587,563.52282
"1","2","3","2","2","2","2","1",637.60782,588.79976,574.43436,616.08424,619.88342
"1","2","4","3","1","1","1","2",558.35081,522.31926,545.49306,582.84821,516.80715
"1","1","4","2","1","1","1","1",627.76499,556.18927,605.40482,594.84596,673.7952
"2","2","4","2","2","1","2","1",604.07905,533.87835,604.49421,533.55473,561.23954
"3","4","1","4","3","3","2","4",537.75306,562.76976,518.03231,553.37095,501.85194
"4","4","4","3","3","4","3","2",482.13771,544.62124,498.20135,504.63603,521.65833
"4","4","1","4","4","4","4","4",585.30792,546.50235,561.98398,574.1064,559.53516
"4","3","2","3","2","2","2","2",696.23422,619.78177,622.35197,718.57919,604.42183
"1","1","4","2","2","1","1","1",547.13547,631.09882,565.15301,585.76482,550.12388
"1","1","3","2","1","1","2","2",516.53877,494.02849,536.66991,536.53457,485.01797
"2","2","3","3","2","2","2","1",576.53502,565.93359,594.85284,612.69149,557.77621
"2","4","2","4","3","3","4","2",575.77916,536.08684,531.3507,528.99846,545.0215
"4","4","1","4","4","4","4","3",543.00971,554.74624,559.14452,512.79855,512.06592
"2","2","3","2","2","2","2","2",684.20562,633.44933,633.36358,684.90335,651.65424
"1","2","4","2","1","1","1","2",507.45292,572.11543,550.63931,538.44551,496.43201
"2","2","4","2","2","2","2","2",583.54919,640.03218,624.66431,626.02776,596.70365
"3","4","1","4","4","3","4","4",562.10357,649.704,610.89164,619.15101,571.5643
"2","1","4","3","2","3","2","1",666.80495,604.82071,615.10597,680.98427,648.3661
"1","2","3","2","1","1","1","2",487.33391,517.46296,503.99295,505.00307,488.70183
"2","2","2","3","3","3","3","3",682.52657,644.59467,655.25859,680.79028,684.9002
"2","2","4","1","1","1","2","1",649.4051,616.16055,657.95832,678.66133,642.53395
"1","1","4","1","1","4","2","1",593.62762,537.81627,561.06648,505.94397,564.46625
"2","1","2","2","1","1","2","2",598.28657,578.89042,587.7155,606.41775,573.81609
"1","3","2","2","4","1","1","1",493.34185,502.07716,505.24856,503.08659,515.8748
"3","4","2","3","3","1","2","3",525.33436,519.85239,534.56881,549.47198,533.37587
"2","1","4","3","2","2","3","4",551.15467,565.52364,560.93652,552.24745,511.14916
"2","2","2","1","3","1","1","1",541.56129,589.43204,560.1535,549.31535,534.88127
"3","3","2","3","3","3","3","2",654.70836,656.4452,641.17344,627.13154,631.86825
"2","1","4","1","1","1","1","1",649.503,635.7715,640.80693,638.34389,650.59225
"3","3","2","3","3","2","2","2",596.35808,572.5227,581.57489,606.41775,574.40145
"2","2","3","3","2","2","3","2",616.0124,670.74308,618.61023,632.39705,574.2678
"2","2","3","2","2","1","1","2",591.86482,595.88539,716.8645,618.84945,657.86251
"2","2","1","2","1","1","1","1",535.44221,513.91445,574.35585,506.24583,557.63128
"2","1","4","1","2","1","1","1",567.93931,531.95791,577.35037,563.05561,561.49873
"4","4","2","4","4","3","4","3",581.87279,536.08684,562.18473,556.021,525.45029
"2","2","4","4","4","1","2","2",561.46047,622.0146,556.30959,592.17209,531.6362
"1","1","4","2","1","1","2","1",649.31442,618.94545,642.7008,625.96997,615.64447
"2","3","2","3","3","2","3","2",573.46739,539.10125,632.86845,604.13884,567.89337
"4","4","1","4","4","4","4","4",549.00412,537.25454,502.24087,530.78367,558.67297
"3","4","2","4","3","2","2","3",618.71772,653.63217,600.60667,577.76468,646.38693
"3","2","3","2","2","4","2","2",550.68825,538.65485,519.79931,589.76519,503.00973
"2","2","2","3","2","2","3","2",481.72716,496.40735,460.26003,558.1598,540.94604
"3","1","4","1","1","1","1","1",664.62885,618.58942,635.821,704.06863,636.18075
"4","4","1","4","4","4","4","4",597.4502,617.72342,588.08365,575.129,564.46184
"1","4","4","3","1","1","1","1",456.33734,454.8753,394.3157,441.77073,443.9007
"4","4","1","4","4","4","4","1",485.87693,544.62124,498.20135,509.21694,508.9903
"1","2","2","3","2","2","1","1",536.75487,558.21548,565.87492,574.89683,561.97619
"3","2","3","3","2","1","1","1",587.82486,566.46779,575.72043,551.87867,550.43589
"2","1","1","4","4","1","2","1",493.13322,474.2863,500.91436,468.82119,530.46733
"1","3","2","2","3","2","4","2",577.80565,553.79162,531.67955,541.06713,547.14939
"2","2","2","3","2","2","3","2",543.56773,587.87605,540.29136,548.63002,538.56102
"2","2","4","2","1","3","3","4",671.57717,622.30111,563.67669,587.68695,588.9109
"2","2","4","2","1","3","3","4",671.57717,660.28393,622.93343,633.83863,656.56635
"2","2","4","2","1","1","1","1",585.53385,608.43916,615.90484,535.53619,650.1871
"2","2","3","3","3","2","2","2",582.98486,607.19012,569.8136,578.60129,537.94571
"3","4","1","3","4","3","2","2",552.6662,551.20286,528.67824,571.99007,583.28563
"2","2","3","4","1","1","2","1",612.00022,601.27435,578.0412,622.61889,595.76607
"4","4","2","4","4","2","4","4",535.58591,526.08496,482.4808,494.77412,528.49207
"2","2","3","2","2","2","1","1",639.06429,588.79976,581.7461,616.08424,582.58488
"1","2","3","3","2","1","1","2",516.92398,529.96836,536.82589,589.1665,539.00596
"2","2","3","2","2","2","2","1",671.78926,683.26429,584.0284,602.30293,648.41348
"2","1","4","1","1","1","3","1",653.58042,645.87575,639.29624,638.34389,667.60868
"2","2","3","3","3","2","2","1",452.48444,455.67537,448.52549,443.40814,455.92748
"2","2","4","3","2","1","1","2",505.9247,506.05883,569.59896,513.95766,498.32358
"2","2","2","2","2","2","2","2",482.73776,485.69495,479.53762,536.31081,523.53165
"1","1","3","2","1","2","2","1",578.55531,631.2965,590.25122,632.18192,651.41997
"1","2","4","1","1","1","1","1",718.06912,696.38995,749.41119,736.92078,672.43453
"4","4","1","4","4","2","4","4",510.8795,546.51467,565.22494,495.04868,558.52178
"3","3","1","3","4","2","2","2",573.29987,525.43842,539.74561,533.72563,498.39404
"3","2","3","3","2","2","2","2",496.64905,511.99411,519.49865,515.18584,492.49307
"3","2","3","2","2","2","2","2",552.27193,547.71493,546.69343,563.67904,571.43363
"3","3","2","3","3","2","3","1",590.40937,524.13618,541.235,556.84273,569.73571
"1","2","1","3","2","1","1","1",621.87653,492.30214,554.58405,545.46544,525.45029
"2","2","2","3","3","2","3","3",543.44723,564.24574,556.34282,524.2987,547.69495
"2","3","3","3","2","2","3","2",631.76557,646.97784,584.75802,661.68485,626.24903
"3","4","1","3","4","2","4","4",538.22722,579.92319,501.07765,576.09863,549.48375
"1","1","3","3","2","2","2","2",468.04231,427.37793,492.49496,453.62776,424.96203
"1","3","2","3","3","2","3","2",437.28613,509.23663,494.23911,509.21694,495.1617
"2","1","3","3","3","4","2","1",648.58776,657.2195,593.08296,578.48767,613.61597
"2","1","4","1","1","1","2","2",629.60484,625.45714,700.79812,657.84243,588.71827
"3","1","3","2","2","2","2","2",623.16976,576.31306,610.70921,594.84596,574.86065
"2","1","4","1","1","1","1","1",526.12534,522.61788,511.0951,512.13067,512.21854
"3","2","4","2","3","2","2","1",554.60883,534.63313,545.40941,560.12094,520.58598
"2","2","4","2","1","1","2","1",629.25138,565.35317,642.02715,534.68233,763.30914
"4","4","2","4","3","4","3","2",494.68932,483.00504,517.62362,519.45555,516.14394
"1","2","4","1","1","1","1","2",611.9935,577.5814,525.57475,633.75436,567.61859
"3","4","2","4","3","4","4","4",539.16352,496.72466,522.71841,549.47198,526.15945
"2","2","3","1","2","2","2","1",539.92743,552.03672,546.13996,499.2531,520.40013
"4","4","1","4","4","4","2","2",485.87693,520.22383,478.82313,504.63603,488.53731
"4","4","4","4","3","4","3","3",642.12215,615.19782,619.96771,653.69384,598.98426
"2","2","4","1","2","1","1","1",600.09293,659.39657,643.04096,660.76848,607.35355
"2","3","1","4","4","2","3","2",663.93466,589.11071,577.52447,664.50097,655.06475
"1","2","2","2","2","3","3","4",346.00875,391.19242,412.64832,416.43405,444.56514
"2","2","4","2","1","1","1","2",636.72617,626.45756,634.34272,620.16693,645.52372
"1","2","4","1","1","1","1","1",611.9935,658.97296,590.60641,665.26225,630.83877
"3","3","2","3","3","2","3","3",548.73065,537.25454,519.9268,537.1425,561.92808
"1","1","1","2","3","2","2","2",529.62855,524.51255,544.17088,509.3552,518.06402
"1","3","1","3","2","3","4","1",479.80223,470.40948,511.75959,521.90124,459.45963
"4","3","1","3","3","2","3","3",492.01331,448.22877,518.38339,516.68941,484.35661
"2","1","3","2","2","1","1","2",541.8665,575.90896,579.22551,589.49535,591.45173
"2","2","3","2","2","2","1","1",575.35049,612.67848,622.25432,542.25919,592.47813
"2","2","3","3","3","2","2","2",551.98666,547.71493,605.43754,587.70666,528.94019
"2","2","3","2","2","1","2","1",631.48936,578.97709,608.36992,589.69191,567.90127
"2","2","2","2","1","2","2","2",633.33185,700.53664,703.30554,604.52723,651.23463
"4","2","3","3","2","2","1","1",598.2309,658.53796,609.9941,564.96953,575.58006
"2","1","4","1","1","1","2","1",649.02813,640.72936,636.31931,594.93145,667.60868
"3","2","2","3","3","2","1","2",601.54064,589.61031,587.7155,594.89758,573.81609
"3","4","2","3","2","3","2","2",629.61196,592.31634,605.40482,621.50156,630.0055
"1","2","3","3","2","1","1","1",595.40508,555.36434,509.3031,557.10733,572.4387
"2","3","2","3","3","2","3","3",545.06796,575.12522,523.20428,575.30523,547.7048
"2","2","2","1","1","1","2","1",617.44159,570.2414,561.22071,573.00538,561.71649
"2","3","2","3","3","2","2","2",538.81566,579.92319,564.19456,536.50757,586.42002
"1","2","3","2","2","1","1","1",568.06368,539.03173,569.05156,616.28213,566.46582
"2","3","3","3","1","1","4","2",616.0124,587.58718,596.16669,550.13996,526.852
"3","1","4","3","2","3","2","1",570.39936,582.3538,553.32257,549.39336,594.4655
"3","2","3","2","3","2","1","2",615.31994,643.86525,618.61023,576.52531,567.02677
"4","4","1","4","4","4","4","2",485.87693,520.22383,506.15351,525.38432,575.88295
"3","2","3","2","2","2","2","2",660.68353,645.35131,679.42766,700.40439,705.70018
"1","1","4","2","1","1","1","1",688.94862,686.48348,617.19781,680.98427,689.23834
"1","2","3","3","2","2","2","2",491.50038,498.80489,503.99295,477.43675,550.65734
"1","3","2","3","3","2","3","3",586.93272,599.61146,578.0412,619.42044,612.54577
"1","3","2","2","2","2","4","4",509.35495,550.50784,517.15061,516.98563,521.65833
"2","2","3","2","2","2","2","2",671.29119,578.97257,641.24598,624.58485,629.02167
"2","4","1","4","4","3","4","4",562.10357,592.77065,576.84609,566.28844,539.04268
"2","2","3","1","1","1","2","1",612.00022,606.12921,588.44512,600.10449,587.33504
"3","4","2","4","3","4","4","3",456.71899,431.84296,435.13086,438.26005,469.1459
"2","2","3","3","1","1","1","1",612.61604,597.79844,550.16908,608.92,554.45761
"3","2","2","1","3","2","2","1",576.02453,556.51665,544.67423,554.39047,571.0053
"2","3","3","3","3","2","2","2",484.42616,520.22383,526.98707,522.5372,499.23921
"2","2","4","3","1","2","2","1",589.29954,607.19012,637.86303,564.30709,625.79301
"2","2","3","2","3","3","3","4",527.19039,530.69069,589.63663,583.96524,601.33031
"1","1","4","1","2","2","2","2",458.29219,463.93302,463.08375,418.93189,448.92451
"2","3","2","3","3","2","3","2",574.4553,571.45758,611.46312,628.51482,572.55716
"1","2","3","2","1","1","1","2",631.16481,625.19794,625.31727,607.27273,630.15638
"2","2","3","2","2","1","2","1",586.47556,565.18928,597.29884,592.63838,605.07345
"2","2","3","3","2","2","2","2",498.25736,494.04461,497.93548,541.79505,504.18927
"4","2","3","2","2","2","2","1",539.92743,569.76112,542.64208,575.02892,523.41174
"2","2","3","2","2","2","2","2",612.71283,615.40289,598.61989,579.17782,576.68739
"2","2","4","1","1","4","3","4",559.32538,572.14028,558.80806,611.25258,594.04589
"1","2","4","2","1","1","1","1",572.54126,618.89051,583.88517,572.98629,544.21111
"1","3","3","3","3","2","1","2",447.63558,433.85377,444.07707,456.69935,428.8823
"2","3","3","2","1","1","2","2",634.56147,655.68837,580.22862,594.46301,590.19229
"4","4","3","4","3","4","2","1",561.46047,557.11534,495.09653,583.91792,543.09496
"2","1","1","2","2","2","2","2",488.06565,505.52217,489.97879,459.02455,509.40867
"2","1","3","1","2","1","1","2",478.73352,419.72585,468.48815,473.64443,433.74518
"3","3","3","2","2","1","3","1",626.03537,667.04905,657.95832,591.80269,616.48246
"1","1","2","1","1","2","3","1",519.1356,524.23066,511.3049,539.73856,478.04485
"4","4","1","4","4","4","3","3",535.22472,525.10888,506.26618,548.99409,539.00596
"2","3","3","3","2","1","2","1",603.62372,571.00779,552.30084,582.8828,585.52767
"3","3","3","4","2","2","2","2",660.68353,611.22724,605.1482,624.09023,606.94553
"4","4","1","4","4","4","4","4",564.39325,574.63631,558.91321,556.021,610.47184
"3","2","2","3","2","2","2","2",574.34549,564.63392,554.55843,581.5996,607.65089
"2","2","2","3","3","2","3","2",485.74066,521.23041,500.91436,497.01956,478.28722
"3","3","1","3","4","3","2","3",472.3308,492.90658,490.07438,495.18016,535.65607
"2","1","4","1","1","1","2","1",492.27843,511.47408,479.99077,503.31835,531.28347
"1","2","2","4","2","2","1","1",559.04693,575.76807,568.80225,582.36437,561.97619
"2","3","1","3","4","2","3","1",549.88374,523.88736,514.23337,488.18291,528.49207
"2","3","3","3","2","3","3","4",741.24334,623.92179,645.23744,751.62421,651.65424
"3","4","2","3","4","2","4","2",548.73065,537.25454,482.4808,519.29102,510.58339
"1","2","1","4","4","1","1","1",578.9165,568.78411,554.91229,582.36437,547.14939
"2","2","3","2","1","1","1","1",639.13126,662.4459,669.14609,685.7452,705.70018
"2","2","4","2","2","2","1","1",627.04627,590.53299,660.71557,648.94943,629.02167
"3","2","2","2","3","2","2","1",644.32186,610.4169,615.12346,588.76836,645.07754
"3","4","3","3","2","1","2","2",524.29028,540.9726,559.46071,475.467,560.10708
"3","3","3","4","2","2","2","2",650.03649,625.7037,611.50088,611.27937,569.12183
"2","2","1","3","3","2","2","2",535.44221,513.5236,574.9123,570.63872,584.73154
"3","2","1","1","3","1","2","1",613.0384,659.39657,600.60667,576.89645,592.56778
"2","2","4","2","2","2","2","2",569.39181,586.95737,591.99671,607.16496,586.03785
"1","2","3","2","2","2","2","1",637.60782,588.20672,581.27351,616.08424,605.90384
"1","3","4","3","1","1","1","1",438.81027,420.60171,444.07707,389.32294,394.62574
